f1,f2,f3,f4,f5,f6,f7,f8
9.75E-231,0.193107559,-0.020414498,-0.875780649,1486.852851,-0.735463743,0.640750882,9.873499999
-1.33E-116,0.558253903,0.009111347,-30.10626784,1473.514871,-0.901983234,1.761805381,9.868124809
2.25E-104,0.109834438,-0.039534211,-36.30705304,2313.93624,-1.129261819,1.887275307,9.613268829
-1.82E-135,0.123392365,-0.048808312,-0.882465927,2430.63335,-0.369531732,0.995704564,9.851895429
-1.31E-110,0.550183049,-0.019543375,-2.548784362,3478.890371,-0.341393613,1.544791905,9.827857184
