function_name,kernel,xi,kappa,nu,length_scale_initial,length_scale_lower,length_scale_upper,noise_level,noise_level_[ower,noise_level_upper
function_1,RBF,0.01,2.5,2.5,0.1,0.001,1000,1.00E-04,0.00001,0.1
function_2,RBF,0.01,1,10,0.1,0.001,1000,1.00E-04,0.000001,0.1
function_3,RBF,0.01,1,100,0.5,0.001,100,1.00E-04,0.000001,0.1
function_4,RBF,0.01,1.5,1.5,0.001,0.0001,10,1.00E-04,0.000000001,0.1
function_5,Matern,-0.01,2.5,1.5,0.2,0.001,100,0.02,0.000001,0.1
function_6,Matern,0.01,3,100,0.3,0.2,10,0.02,0.000001,0.1
function_7,RBF,0.01,2.5,1,0.2,0.001,1000000,1.00E-04,0.000001,0.1
function_8,RBF,0.01,2.5,100,0.2,0.000001,0.1,1.00E-04,0.000001,0.1
